Date,XUSJP,XUKUS,XUKJP,USACPI,JPNCPI,GBRCPI
1/01/1971,358.02,2.4058,861.324516,16.79204445,32.8,9.25589647
1/02/1971,357.545,2.4178,864.472301,16.83423552,32.8,9.306268695
1/03/1971,357.5187,2.4187,864.7304797,16.87642659,32.9,9.381827034
1/04/1971,357.5032,2.4179,864.4069873,16.91861765,33.3,9.583315937
1/05/1971,357.413,2.4187,864.4748231,17.00299978,33.4,9.646281219
1/06/1971,357.4118,2.4188,864.5076618,17.12957298,33.5,9.715543029
1/07/1971,357.4043,2.4185,864.3822996,17.17176405,33.5,9.772211783
1/08/1971,355.78,2.4346,866.181988,17.21395512,33.5,9.778508311
1/09/1971,338.021,2.4694,834.7090574,17.21395512,34.3,9.791101368
1/10/1971,331.1105,2.4896,824.3327008,17.25614618,34.4,9.847770122
1/11/1971,328.752,2.4933,819.6773616,17.25614618,34.1,9.904438875
1/12/1971,320.0727,2.5266,808.6956838,17.34052832,34.1,9.954811101
1/01/1972,312.72,2.5705,803.84676,17.34052832,34.1,10.01147986
1/02/1972,305.187,2.6037,794.6153919,17.42491045,34.3,10.06185208
1/03/1972,302.5365,2.6181,792.0708107,17.46710152,34.6,10.09333472
1/04/1972,303.5605,2.6102,792.3536171,17.50929258,35,10.18778264
1/05/1972,304.3795,2.6124,795.1610058,17.55148365,35.1,10.23815487
1/06/1972,302.4145,2.5691,776.933092,17.59367472,35.2,10.30741668
1/07/1972,301.0305,2.4447,735.9292634,17.67805685,35.2,10.33889932
1/08/1972,301.1609,2.4502,737.9044372,17.72024791,35.4,10.42075419
1/09/1972,301.119,2.441,735.031479,17.76243898,35.6,10.47742294
1/10/1972,301.011,2.3948,720.8611428,17.84682111,35.8,10.62224309
1/11/1972,300.9885,2.3515,707.7744578,17.88901218,35.8,10.66002226
1/12/1972,301.2405,2.3449,706.3788485,17.93120325,36,10.71669101
1/01/1973,301.7882,2.3563,711.1035357,17.97339431,36.4,10.78595282
1/02/1973,278.4206,2.4272,675.7824803,18.09996751,36.7,10.85521464
1/03/1973,261.9014,2.4724,647.5250214,18.26873178,37.6,10.91817992
1/04/1973,265.4914,2.4837,659.4009902,18.39530498,38.2,11.12596535
1/05/1973,264.6505,2.5306,669.7245553,18.52187818,38.9,11.20782022
1/06/1973,264.4981,2.5762,681.4000052,18.64845138,39,11.26448897
1/07/1973,264.5538,2.5375,671.3052675,18.69064244,39.3,11.31486119
1/08/1973,265.22,2.4757,656.605154,19.02817098,39.6,11.34634384
1/09/1973,265.4747,2.4183,641.997467,19.07036204,40.7,11.44708829
1/10/1973,266.3348,2.4292,646.9804962,19.23912631,40.9,11.6737633
1/11/1973,278.2625,2.387,664.2125875,19.36569951,41.2,11.7619147
1/12/1973,280.1775,2.3174,649.2833385,19.49227271,42.6,11.85006609
1/01/1974,298.1336,2.224,663.0491264,19.66103697,44.4,12.07674111
1/02/1974,291.0872,2.2749,662.1942713,19.91418337,45.8,12.28204571
1/03/1974,282.1648,2.3406,660.4349309,20.16732977,46.1,12.39073638
1/04/1974,277.7741,2.3886,663.4912153,20.2517119,47.3,12.81342232
1/05/1974,278.9664,2.4137,673.3411997,20.5048583,47.5,12.99457343
1/06/1974,282.97,2.3902,676.354894,20.67362257,47.7,13.12741758
1/07/1974,290.98,2.3896,695.325808,20.84238683,48.7,13.248185
1/08/1974,302.2836,2.3456,709.0364122,21.09553323,49.2,13.26026174
1/09/1974,299.084,2.3165,692.828086,21.34867963,49.8,13.40518263
1/10/1974,299.3645,2.333,698.4173785,21.55963496,51,13.67087093
1/11/1974,300.075,2.3252,697.73439,21.72839923,51.4,13.91240576
1/12/1974,300.4114,2.3294,699.7783152,21.89716349,51.6,14.11771036
1/01/1975,299.6845,2.3623,707.9446944,21.98154563,52.2,14.48001259
1/02/1975,291.6583,2.3958,698.7549551,22.15030989,52.2,14.72154741
1/03/1975,287.9486,2.418,696.2597148,22.23469203,52.7,15.0113892
1/04/1975,292.1968,2.3707,692.7109538,22.31907416,53.6,15.59107277
1/05/1975,291.4305,2.3205,676.2644753,22.44564736,53.9,16.24321679
1/06/1975,293.4662,2.2803,669.1909759,22.61441162,53.9,16.55721206
1/07/1975,296.3741,2.1845,647.4292215,22.86755802,54,16.72628643
1/08/1975,297.9762,2.1143,630.0110797,22.90974909,53.9,16.82290036
1/09/1975,299.909,2.0834,624.8304106,23.03632229,55.1,16.96782126
1/10/1975,302.3364,2.0568,621.8455075,23.16289549,55.9,17.20935608
1/11/1975,302.5453,2.0484,619.7337925,23.33165975,55.6,17.41466068
1/12/1975,305.67,2.0221,618.095307,23.41604189,55.6,17.63204202
1/01/1976,304.6357,2.0286,617.983981,23.45823295,56.7,17.8615001
1/02/1976,301.5944,2.0262,611.0905733,23.54261509,57.1,18.09095818
1/03/1976,300.5183,1.9428,583.8469532,23.58480615,57.3,18.18757211
1/04/1976,299.1086,1.8463,552.2442082,23.66918829,58.6,18.5377976
1/05/1976,299.004,1.8079,540.5693316,23.83795255,58.9,18.7431022
1/06/1976,299.1909,1.764,527.7727476,23.96452575,59,18.83971613
1/07/1976,294.641,1.785,525.934185,24.09109895,59.3,18.87594635
1/08/1976,290.6259,1.7828,518.1278545,24.21767215,59,19.14163466
1/09/1976,287.361,1.7272,496.3299192,24.30205428,60.4,19.39524622
1/10/1976,291.189,1.6377,476.8802253,24.42862748,60.8,19.74547171
1/11/1976,295.1653,1.6381,483.5102779,24.47081855,60.8,20.02323676
1/12/1976,294.7017,1.6784,494.6273333,24.55520068,61.5,20.28892506
1/01/1977,291.0524,1.7124,498.3981298,24.68177388,62.1,20.82030167
1/02/1977,285.0221,1.7103,487.4732976,24.93492028,62.4,21.02560627
