DATE,EXJPUS
1/01/1971,358.02
1/02/1971,357.545
1/03/1971,357.5187
1/04/1971,357.5032
1/05/1971,357.413
1/06/1971,357.4118
1/07/1971,357.4043
1/08/1971,355.78
1/09/1971,338.021
1/10/1971,331.1105
1/11/1971,328.752
1/12/1971,320.0727
1/01/1972,312.72
1/02/1972,305.187
1/03/1972,302.5365
1/04/1972,303.5605
1/05/1972,304.3795
1/06/1972,302.4145
1/07/1972,301.0305
1/08/1972,301.1609
1/09/1972,301.119
1/10/1972,301.011
1/11/1972,300.9885
1/12/1972,301.2405
1/01/1973,301.7882
1/02/1973,278.4206
1/03/1973,261.9014
1/04/1973,265.4914
1/05/1973,264.6505
1/06/1973,264.4981
1/07/1973,264.5538
1/08/1973,265.22
1/09/1973,265.4747
1/10/1973,266.3348
1/11/1973,278.2625
1/12/1973,280.1775
1/01/1974,298.1336
1/02/1974,291.0872
1/03/1974,282.1648
1/04/1974,277.7741
1/05/1974,278.9664
1/06/1974,282.97
1/07/1974,290.98
1/08/1974,302.2836
1/09/1974,299.084
1/10/1974,299.3645
1/11/1974,300.075
1/12/1974,300.4114
1/01/1975,299.6845
1/02/1975,291.6583
1/03/1975,287.9486
1/04/1975,292.1968
1/05/1975,291.4305
1/06/1975,293.4662
1/07/1975,296.3741
1/08/1975,297.9762
1/09/1975,299.909
1/10/1975,302.3364
1/11/1975,302.5453
1/12/1975,305.67
1/01/1976,304.6357
1/02/1976,301.5944
1/03/1976,300.5183
1/04/1976,299.1086
1/05/1976,299.004
1/06/1976,299.1909
1/07/1976,294.641
1/08/1976,290.6259
1/09/1976,287.361
1/10/1976,291.189
1/11/1976,295.1653
1/12/1976,294.7017
1/01/1977,291.0524
1/02/1977,285.0221
1/03/1977,280.2265
1/04/1977,275.2071
1/05/1977,277.4262
1/06/1977,272.8609
1/07/1977,264.8632
1/08/1977,266.6774
1/09/1977,266.77
1/10/1977,254.7445
1/11/1977,244.7026
1/12/1977,241.0229
1/01/1978,241.081
1/02/1978,240.3722
1/03/1978,231.8574
1/04/1978,221.857
1/05/1978,226.1786
1/06/1978,214.1064
1/07/1978,199.6955
1/08/1978,188.7096
1/09/1978,189.9195
1/10/1978,183.631
1/11/1978,192.1425
1/12/1978,195.955
1/01/1979,197.755
1/02/1979,200.5072
1/03/1979,206.3236
1/04/1979,216.2852
1/05/1979,218.4141
1/06/1979,218.5967
1/07/1979,216.51
1/08/1979,217.9257
1/09/1979,222.4137
1/10/1979,230.4845
1/11/1979,244.9842
1/12/1979,240.3745
1/01/1980,237.8886
1/02/1980,244.35
1/03/1980,248.4786
1/04/1980,250.275
1/05/1980,228.6286
1/06/1980,217.9176
1/07/1980,221.1364
1/08/1980,223.9138
1/09/1980,214.4167
1/10/1980,209.3227
1/11/1980,213.1059
1/12/1980,209.4886
1/01/1981,202.3667
1/02/1981,205.7167
1/03/1981,208.7918
1/04/1981,214.9759
1/05/1981,220.6285
1/06/1981,224.1805
1/07/1981,232.3261
1/08/1981,233.3262
1/09/1981,229.481
1/10/1981,231.519
1/11/1981,223.1267
1/12/1981,218.9545
1/01/1982,224.805
1/02/1982,235.3056
1/03/1982,241.2283
1/04/1982,244.1068
1/05/1982,236.9635
1/06/1982,251.1977
1/07/1982,255.031
1/08/1982,259.0455
1/09/1982,263.2857
1/10/1982,271.615
1/11/1982,264.0879
1/12/1982,241.9413
1/01/1983,232.731
1/02/1983,236.1211
1/03/1983,238.2543
1/04/1983,237.7467
1/05/1983,234.7557
1/06/1983,240.0314
1/07/1983,240.516
1/08/1983,244.4613
1/09/1983,242.3462
1/10/1983,232.8855
1/11/1983,235.03
1/12/1983,234.4624
1/01/1984,233.8
1/02/1984,233.5963
1/03/1984,225.2664
1/04/1984,225.2
1/05/1984,230.4777
1/06/1984,233.5657
1/07/1984,243.0676
1/08/1984,242.2609
1/09/1984,245.4568
1/10/1984,246.7545
1/11/1984,243.6305
1/12/1984,247.964
1/01/1985,254.1829
1/02/1985,260.4778
1/03/1985,257.9205
1/04/1985,251.8455
1/05/1985,251.7295
1/06/1985,248.84
1/07/1985,241.1364
1/08/1985,237.4609
1/09/1985,236.5275
1/10/1985,214.6805
1/11/1985,204.0737
1/12/1985,202.7881
1/01/1986,199.8905
1/02/1986,184.8516
1/03/1986,178.6938
1/04/1986,175.0918
1/05/1986,167.0314
1/06/1986,167.5419
1/07/1986,158.6059
1/08/1986,154.1771
1/09/1986,154.7314
1/10/1986,156.4723
1/11/1986,162.8494
1/12/1986,162.0523
1/01/1987,154.8295
1/02/1987,153.4068
1/03/1987,151.4332
1/04/1987,142.8986
1/05/1987,140.479
1/06/1987,144.5495
1/07/1987,150.2939
1/08/1987,147.3343
1/09/1987,143.291
1/10/1987,143.32
1/11/1987,135.3974
1/12/1987,128.2418
1/01/1988,127.6853
1/02/1988,129.1665
